HD	RAJ2000	DEJ2000	Mag	Name	Constellation	Bayer
25025	03 58 01.73	-13 30 29.7	 2.97	Zaurak	Eridanus	gamma
102870	11 50 41.29	+01 45 55.4	 3.59	Zavijava	Virgo	beta
20320	03 15 50.03	-08 49 11.4	 4.80	Zibal	Eridanus	dzeta
97603	11 14 06.41	+20 31 26.5	 2.56	Zosma	Leo	delta
138905	15 35 31.54	-14 47 22.4	 3.91	Zuben Elakrab	Libra	gamma
132742	15 00 58.39	-08 31 08.2	 4.91	Zuben Elakribi	Libra	delta
135742	15 17 00.47	-09 22 58.3	 2.61	Zuben Elschemali; Kiffa Borealis	Libra	beta
133216	15 04 04.26	-25 16 54.7	 3.25	Zuben Hakrabi	Libra	sigma
133774	15 06 37.62	-16 15 24.3	 5.19	Zuben Hakrabi	Libra	nu
130841	14 50 52.78	-16 02 29.8	 2.75	Zubenelgenubi	Libra	alpha
