HD	RAJ2000	DEJ2000	Mag	Name	Constellation	Bayer
36673	05 32 43.81	-17 49 20.3	 2.58	Arneb	Lepus	alpha
154905	17 05 20.18	+54 28 11.5	 4.91	Arrakis	Draco	mu
154906	17 05 19.70	+54 28 13.0	 5.80	Arrakis; Errakis; Al Rakis; El Rakis	Draco	mu
74442	08 44 41.11	+18 09 17.5	 3.94	Asellus Australis	Cancer	delta
74198	08 43 17.21	+21 28 06.9	 4.66	Asellus Borealis	Cancer	gamma
126660	14 25 12.02	+51 51 06.2	 4.04	Asellus Primus	Bootes	theta
125161	14 16 10.07	+51 22 01.3	 4.75	Asellus Secondus	Bootes	iota
124675	14 13 28.95	+51 47 24.0	 4.53	Asellus Tertius	Bootes	kappa
80404	09 17 05.43	-59 16 30.9	 2.21	Aspidiske	Carina	iota
109358	12 33 45.09	+41 21 24.4	 4.24	Asterion	Canes Venatici	beta
23432	03 45 54.46	+24 33 16.6	 5.76	Asterope	Taurus	21
176687	19 02 36.72	-29 52 48.4	 2.60	Astsella	Sagittarius	dzeta
23180	03 44 19.13	+32 17 17.8	 3.84	Atik	Perseus	omicron
23850	03 49 09.73	+24 03 12.7	 3.62	Atlas	Taurus	27
112300	12 55 36.48	+03 23 51.4	 3.39	Auva	Virgo	delta
71129	08 22 30.86	-59 30 34.3	 1.86	Avior	Carina	epsilon
206672	21 42 05.66	+51 11 22.7	 4.69	Azelfafage	Cygnus	pi
18322	02 56 25.60	-08 53 51.4	 3.89	Azha	Eridanus	eta
63700	07 49 17.66	-24 51 35.2	 3.34	Azmidiske	Puppis	xi
11353	01 51 27.61	-10 20 05.8	 3.74	Baten Kaitos	Cetus	dzeta
26574	04 11 51.93	-06 50 16.0	 4.04	Beid	Eridanus	omicron
111123	12 47 43.32	-59 41 19.4	 1.25	Bekruks; Mimoza	Crux	beta
35468	05 25 07.87	+06 20 59.0	 1.64	Bellatrix	Orion	gamma
120315	13 47 32.55	+49 18 47.9	 1.85	Benetnash	Ursa Major	eta
39801	05 55 10.29	+07 24 25.3	 0.45	Betelgeuse	Orion	alpha
210418	22 10 11.82	+06 11 52.0	 3.52	Biham	Pegasus	theta
19787	03 11 37.67	+19 43 36.1	 4.35	Botein	Aries	delta
45348	06 23 57.09	-52 41 44.6	-0.62	Canopus	Carina	alpha
34029	05 16 41.30	+45 59 56.5	 0.08	Capella	Auriga	alpha
432	00 09 10.09	+59 09 00.8	 2.28	Caph	Cassiopeia	beta
11443	01 53 04.90	+29 34 45.8	 3.42	Caput Trianguli	Triangulum	alpha
