Messier	Name	DEB2000	RAB2000	Const	mag	size	Object
M  72	NGC 6981	-12.5333333333333316	313.3749999999999565	Aqr	9.4	5.9	
M  73	NGC 6994	-12.6333333333333316	314.7499999999999563	Aqr	9.0	3.0	
M  74	NGC 628	15.7833333333333311	24.1749999999999966	Psc	9.2	10.2	
M  75	NGC 6864	-21.9166666666666636	301.5249999999999581	Sgr	8.6	6.0	
M  76	NGC 650	51.5666666666666595	25.5749999999999964	Per	12.0	4.8	Little Dumbbell
M  76	NGC 651	51.5833333333333262	25.5749999999999964	Per	12.0		Little Dumbbell
M  77	NGC 1068	-0.01666666666666666435	40.6749999999999944	Cet	8.8	6.9	
M  78	NGC 2068	0.04999999999999999306	86.6749999999999880	Ori	8.0	8.0	
M  79	NGC 1904	-24.5499999999999966	81.1249999999999887	Lep	8.0	8.7	
M  80	NGC 6093	-22.9833333333333301	244.2499999999999661	Sco	7.2	8.9	
M  81	NGC 3031	69.0666666666666571	148.8999999999999793	UMa	6.9	25.7	Bode's nebulae
M  82	NGC 3034	69.6833333333333237	148.9499999999999793	UMa	8.4	11.2	Bode's nebulae
M  83	NGC 5236	-29.8666666666666625	204.2499999999999716	Hya	7.6	11.2	
M  84	NGC 4374	12.8833333333333315	186.2749999999999741	Vir	9.3	5.0	
M  85	NGC 4382	18.1833333333333308	186.3499999999999741	Com	9.2	7.1	
M  86	NGC 4406	12.9499999999999982	186.5499999999999741	Vir	9.2	7.4	
M  87	NGC 4486	12.3999999999999983	187.6999999999999739	Vir	8.6	7.2	
M  88	NGC 4501	14.4166666666666647	187.9999999999999739	Com	9.5	6.9	
M  89	NGC 4552	12.5499999999999983	188.9249999999999738	Vir	9.8	4.2	
M  90	NGC 4569	13.1666666666666648	189.1999999999999737	Vir	9.5	9.5	
M  91	NGC 4548	14.4999999999999980	188.8499999999999738	Com	10.2	5.4	
M  92	NGC 6341	43.1333333333333273	259.2749999999999640	Her	6.5	11.2	
M  93	NGC 2447	-23.8666666666666634	116.1499999999999839	Pup	6.2	22.0	
M  94	NGC 4736	41.1166666666666610	192.7249999999999732	CVn	8.2	11.0	
M  95	NGC 3351	11.6999999999999984	160.9999999999999776	Leo	9.7	7.4	
