Cat,NGC/IC,RAJ2000,DEJ2000,N,Note,qPos
I,49,10.9840833333333318,1.8498888888888886,7, ,c
N,50,3.6858333333333328,-7.3452777777777768,2,*,d
I,50,11.5233333333333317,-9.5030555555555542,2, ,d
N,51,3.6453333333333328,48.2556305555555489,5, ,b
I,51,11.6012499999999984,-13.4419444444444426,3, ,d
N,52,3.6675416666666662,18.5810833333333308,4, ,c
I,52,12.0995833333333317,4.0914722222222217,4, ,c
I,53,12.6700583333333316,10.6001833333333319,4, ,b
N,53,3.6791666666666662,-60.3283333333333250,2, ,d
N,54,3.7816666666666661,-7.1072222222222212,2,*,d
I,54,12.6949999999999982,-2.2883333333333330,2, ,d
I,55,12.9265458333333315,7.7183944444444434,4, ,b
N,55,3.7243749999999995,-39.1991388888888834,4,*,c
N,55,3.7833333333333328,-39.2199999999999946,1,*,e
I,56,12.9634666666666649,-12.7675305555555538,2, ,b
I,56,12.8749999999999982,-12.8447222222222204,3, ,d
N,56,3.8333333333333328,12.4449999999999983,1,*,e
I,57,13.7022416666666648,11.8409416666666650,4, ,b
N,57,3.8788333333333328,17.3279166666666643,6, ,c
I,58,13.7601708333333314,-13.6780888888888870,2, ,b
N,58,3.6278333333333328,-7.1679166666666657,3,*,c
I,59,14.3691666666666647,61.1436111111111026,1, ,d
N,59,3.8558333333333328,-21.4438888888888859,3, ,d
I,60,14.0177041666666647,-13.3582861111111093,2, ,b
N,60,3.9929166666666661,-0.30388888888888884668,6, ,c
N,61,4.1015833333333328,-6.3201666666666658,1,*,c
I,61,14.2800833333333313,7.5068055555555545,5, ,c
N,61,4.1004166666666661,-6.3177777777777769,3,*,d
N,61,4.1016666666666661,-6.3222222222222213,3,*,d
I,62,14.6827916666666646,11.8077777777777761,5, ,c
N,62,4.2724999999999994,-13.4863888888888870,3, ,d
N,63,4.4394999999999994,11.4497222222222206,5, ,c
I,63,15.0029166666666646,61.0974999999999915,1, ,d
I,63,14.8699999999999979,60.9116666666666582,1, ,d
I,64,14.8516999999999979,27.0588472222222185,3, ,b
N,64,4.3762499999999994,-6.8252777777777768,2, ,d
I,64,14.7645833333333313,27.0419444444444407,1, ,d
