Cat,NGC/IC,RAJ2000,DEJ2000,N,Note,qPos
N,1719,74.8935416666666563,-0.26072222222222218601,6,*,c
I,1719,24.4004166666666633,-33.9244444444444397,2, ,d
I,1720,25.0887499999999965,-28.9138888888888849,2, ,d
N,1720,74.8358333333333229,-7.8588888888888878,4, ,d
I,1721,25.3519541666666631,8.5253166666666655,4, ,b
N,1721,74.8227499999999896,-11.1189444444444429,3, ,c
I,1722,25.7599999999999964,-34.1883333333333286,2, ,d
N,1722,72.9499999999999899,-69.3999999999999904,1, ,e
N,1722,72.9291666666666565,-69.3983333333333237,1, ,e
I,1723,25.8089583333333297,8.8890833333333321,6,*,c
N,1723,74.8579166666666563,-10.9808333333333318,2, ,d
I,1724,25.7887499999999964,-34.2422222222222175,2, ,d
N,1724,75.8833333333333228,49.4916666666666598,2, ,e
I,1725,26.2994583333333297,21.7762499999999970,4, ,c
I,1725,26.2984583333333297,21.7758888888888859,1, ,c
I,1725,26.2996666666666630,21.7771666666666636,1, ,c
N,1725,74.8453749999999896,-11.1323055555555540,4, ,c
I,1726,26.3321458333333297,4.6184583333333327,3, ,b
N,1726,74.9245833333333229,-7.7549999999999989,3, ,d
I,1727,26.8760833333333296,27.3319166666666629,9, ,c
I,1727,26.8695416666666629,27.3372499999999962,1, ,c
I,1727,26.8803333333333296,27.3274999999999962,1, ,c
I,1727,26.8824583333333296,27.3258055555555518,1, ,c
N,1727,73.0499999999999899,-69.3399999999999904,2, ,e
N,1728,74.8657499999999896,-11.1230833333333318,3, ,c
I,1728,26.9358333333333296,-33.6022222222222176,2, ,d
I,1729,26.9804166666666629,-26.8916666666666629,3, ,d
N,1729,75.0649999999999896,-3.3524999999999995,4, ,d
I,1730,27.4915999999999962,22.0114444444444414,4, ,b
N,1730,74.8822499999999896,-15.8235833333333311,3,*,c
I,1731,27.5521249999999962,27.1961388888888851,6, ,c
N,1731,73.3791666666666565,-66.9249999999999907,2, ,e
I,1732,27.6998333333333295,35.9324722222222172,4, ,c
N,1732,73.2916666666666565,-68.6499999999999905,2, ,e
I,1733,27.6791249999999962,33.0821666666666621,6, ,c
N,1733,73.5166666666666565,-66.6833333333333241,2, ,e
I,1734,27.3208333333333295,-32.7436111111111066,2, ,d
N,1734,73.3833333333333231,-68.7683333333333238,2, ,e
I,1735,27.7158749999999962,33.0925277777777732,4, ,c
N,1735,73.5833333333333231,-67.0999999999999907,2, ,e
I,1736,27.7217916666666628,18.3023888888888863,4, ,c
N,1736,73.2541666666666565,-68.0516666666666572,2,*,e
I,1737,27.9325833333333295,36.2503611111111061,1,*,c
I,1737,27.9230416666666628,36.2522777777777727,1,*,c
N,1737,73.4912499999999898,-69.1724999999999904,3,*,d
I,1737,27.9266666666666628,36.2502777777777727,2,*,d
N,1738,75.4441666666666562,-18.1580555555555530,3, ,d
I,1738,27.7824999999999961,-9.7927777777777764,3, ,d
I,1739,27.6233333333333295,-34.0566666666666619,2, ,d
N,1739,75.4474999999999895,-18.1672222222222197,3, ,d
N,1740,75.4779749999999895,-3.2961055555555551,4, ,b
I,1740,27.9034166666666628,-29.9222499999999958,2,*,c
I,1740,27.9026249999999961,-29.9208333333333292,2,*,c
I,1740,27.2158333333333296,-30.0885555555555514,2,*,c
I,1740,27.9046249999999961,-29.9246111111111070,1,*,c
I,1740,27.2139583333333296,-30.0844444444444403,2,*,c
I,1740,27.2149583333333296,-30.0863611111111069,2,*,c
I,1740,27.8191666666666628,-29.9436111111111070,1,*,d
I,1741,27.9863416666666628,-16.7880083333333310,3, ,b
N,1741,75.4114999999999895,-4.2594722222222216,1, ,c
N,1741,75.3979166666666562,-4.2636111111111105,3, ,d
N,1741,75.4083333333333229,-4.2586111111111105,4, ,d
I,1742,28.3094999999999961,22.7207499999999968,3, ,c
N,1742,75.5016666666666562,-3.2874999999999995,2, ,d
N,1743,73.5128749999999898,-69.2011111111111015,4,*,c
I,1743,28.2484999999999961,12.7079999999999982,5,*,c
I,1744,28.4119083333333294,19.8402722222222195,4,*,b
N,1744,74.9901249999999896,-26.0226666666666631,5, ,c
I,1745,28.2461083333333294,-16.6692611111111088,3, ,b
N,1745,73.5858333333333231,-69.1588888888888793,1,*,d
N,1745,73.5541666666666565,-69.2116666666666571,1,*,e
I,1746,28.6012083333333294,4.8033888888888882,5, ,c
N,1746,75.9583333333333228,23.7699999999999967,2,*,e
I,1747,29.3986499999999959,63.3217249999999912,4, ,b
N,1747,73.7999999999999898,-67.1783333333333240,1, ,e
N,1747,73.7916666666666564,-67.1683333333333240,1, ,e
I,1748,29.0370416666666626,17.6408055555555531,4, ,c
N,1748,73.6031249999999898,-69.1843611111111015,4,*,c
I,1749,29.0463458333333293,6.7447888888888880,4, ,b
N,1749,73.7291666666666564,-68.1899999999999905,2, ,e
I,1750,29.0772916666666626,4.0759166666666661,5, ,c
N,1750,75.9791666666666561,23.6586111111111078,3,*,d
I,1751,29.0877083333333293,5.6287499999999992,7,*,c
N,1751,73.5499999999999898,-69.8066666666666570,2, ,e
I,1752,29.3138624999999959,28.6138055555555516,2,*,b
I,1752,29.3156666666666626,28.6104722222222182,1,*,c
I,1752,29.3109583333333293,28.6164444444444405,1,*,c
N,1752,75.5391666666666562,-8.2411388888888877,4, ,c
I,1753,29.3304166666666626,28.5894999999999960,5, ,c
N,1753,75.6345833333333228,-3.3441666666666662,3, ,d
I,1754,29.2081041666666626,4.0254444444444439,3, ,b
N,1754,73.5749999999999898,-70.4433333333333235,2, ,e
I,1755,29.2907083333333293,14.5497499999999980,5, ,c
N,1755,73.8083333333333231,-68.2049999999999905,2, ,e
N,1756,73.7065416666666564,-69.2381666666666571,4, ,c
I,1756,29.2721249999999959,-0.46866666666666660157,4, ,c
I,1757,29.2977916666666626,-0.47405555555555548971,2, ,c
I,1757,29.3011666666666626,-0.47288888888888882321,1, ,c
N,1757,75.6624999999999895,-4.7233333333333327,1, ,e
I,1758,29.2182083333333293,-16.5419722222222199,2,*,c
I,1758,29.2174999999999959,-16.5402222222222199,1,*,c
N,1758,76.1458333333333228,23.7983333333333300,2,*,e
I,1759,29.4806666666666626,-32.9874722222222176,3,*,c
N,1759,75.2041666666666562,-38.6741666666666613,2, ,d
I,1760,29.4806666666666626,-32.9874722222222176,3,*,c
N,1760,74.1833333333333230,-66.5266666666666574,1, ,e
N,1760,74.1541666666666564,-66.5233333333333241,1, ,e
I,1761,29.7178666666666625,0.56813611111111103220,4, ,b
N,1761,74.1666666666666564,-66.4866666666666574,1, ,e
N,1761,74.1541666666666564,-66.4783333333333241,1, ,e
N,1762,75.9040416666666561,1.5730833333333331,6, ,c
I,1762,29.4520833333333292,-33.2399999999999954,2, ,d
N,1763,74.1674999999999897,-66.4122222222222130,1,*,d
I,1763,29.7974999999999959,-27.8105555555555517,2, ,d
N,1763,74.2479166666666564,-66.4055555555555463,1,*,d
N,1763,74.2116666666666564,-66.4072222222222130,2,*,d
N,1763,74.1874999999999897,-66.4183333333333241,1,*,e
I,1764,30.0976249999999958,24.5804166666666633,4, ,c
N,1764,74.1166666666666564,-67.6949999999999906,2, ,e
I,1765,30.2774166666666625,31.8822222222222178,7,*,c
N,1765,74.6016666666666563,-62.0277777777777692,2, ,d
I,1766,30.4172499999999958,31.8262222222222178,5,*,c
N,1766,73.9916666666666564,-70.2266666666666569,2, ,e
I,1767,29.9974999999999958,-11.0786111111111096,3, ,d
N,1767,74.1124999999999897,-69.4016666666666570,2, ,e
I,1768,30.2079583333333291,-25.0267499999999965,3, ,c
N,1768,74.2499999999999897,-68.2499999999999905,2, ,e
I,1769,30.2283333333333291,-31.9205555555555511,2, ,d
N,1769,74.4333333333333230,-66.4699999999999908,1, ,e
N,1769,74.4333333333333230,-66.4633333333333241,1, ,e
I,1770,30.5599999999999958,9.9803888888888875,5, ,c
N,1770,74.3441666666666563,-68.4111111111111016,1,*,d
N,1770,74.3124999999999897,-68.4166666666666572,2,*,e
I,1771,30.5659166666666624,9.9683611111111097,4, ,c
N,1771,74.7308333333333230,-63.2980555555555468,3, ,d
I,1772,30.6785416666666624,7.7452499999999989,2, ,c
N,1772,74.2208333333333230,-69.5566666666666570,2, ,e
I,1773,31.0089999999999957,30.8325555555555513,5,*,c
N,1773,74.5499999999999896,-66.3716666666666574,1, ,e
N,1773,74.5458333333333230,-66.3583333333333241,1, ,e
I,1774,30.9960416666666624,15.3176111111111090,5, ,c
N,1774,74.5291666666666563,-67.2433333333333240,2, ,e
I,1775,31.3233333333333290,13.5050277777777759,2, ,c
N,1775,74.2249999999999897,-70.4299999999999902,2, ,e
I,1776,31.3131249999999957,6.1048611111111103,4, ,c
N,1776,74.6624999999999896,-66.4316666666666574,2, ,e
I,1777,31.5366833333333290,15.2096694444444423,3, ,b
N,1777,73.9510416666666564,-74.2840277777777675,2, ,c
I,1778,31.5810416666666623,9.2271666666666654,5,*,c
N,1778,77.0166666666666560,37.0233333333333282,2, ,e
I,1779,31.6083041666666623,3.7058333333333328,4, ,b
N,1779,76.3245833333333227,-9.1466666666666654,3, ,d
I,1780,31.7133333333333289,14.7216944444444424,4, ,c
N,1780,76.5866666666666560,-19.4672222222222195,3, ,d
I,1781,31.7199999999999956,-0.51777777777777770586,3, ,d
N,1781,76.9799999999999893,-18.1905555555555530,3, ,d
I,1782,31.8372083333333289,-25.4425277777777742,1,*,c
I,1782,31.8332916666666622,-25.4421111111111076,3,*,c
N,1782,74.4624999999999897,-69.3933333333333237,2, ,e
N,1783,74.7865833333333229,-65.9861944444444353,2, ,c
I,1783,32.5258333333333288,-32.9405555555555510,2, ,d
I,1784,34.0538749999999953,32.6496666666666621,8, ,c
N,1784,76.3620833333333227,-11.8716666666666650,3, ,d
I,1785,34.0871749999999953,32.6663249999999955,4, ,b
N,1785,74.6470833333333230,-68.8441666666666571,1,*,d
N,1785,74.6904166666666563,-68.8227777777777682,3,*,d
I,1786,34.0233749999999953,5.1454444444444437,4, ,c
N,1786,74.7791666666666563,-67.7466666666666573,2, ,e
I,1787,34.0441666666666619,-11.9258333333333317,2,*,d
N,1787,75.0291666666666562,-65.7633333333333242,1,*,e
N,1788,76.7216666666666560,-3.3408333333333329,1, ,d
I,1788,33.9570833333333286,-31.2011111111111068,3, ,d
I,1789,34.4636666666666619,32.3958055555555511,4, ,c
N,1789,74.4583333333333230,-71.8999999999999900,2, ,e
I,1790,34.4084166666666619,12.5088888888888872,4, ,c
N,1790,77.7799999999999892,52.0577777777777705,3,*,d
I,1791,34.4224166666666619,12.4701111111111094,5, ,c
N,1791,74.7749999999999896,-70.1683333333333236,2, ,e
I,1792,34.7547083333333285,34.4619444444444397,4, ,c
N,1792,76.3088749999999894,-37.9803333333333281,3, ,c
I,1793,35.3848749999999951,32.5444999999999955,4, ,c
N,1793,74.9095833333333229,-69.5574999999999903,2, ,d
I,1794,35.3759999999999951,15.7613416666666645,3, ,b
N,1794,76.9799999999999893,-18.1905555555555530,3, ,d
N,1795,74.9462499999999896,-69.8011111111111014,2, ,d
I,1795,36.6333333333333282,62.0413888888888803,1,*,d
N,1796,76.9753749999999893,-61.1898888888888804,4, ,c
N,1796,76.9824583333333226,-61.1936944444444359,2, ,c
I,1796,35.6974999999999950,-41.3711111111111054,2, ,d
N,1796,75.6791666666666562,-61.1394444444444360,2, ,d
N,1796,76.2633333333333227,-61.4838888888888803,4, ,d
I,1797,36.3663333333333283,20.3951944444444416,4, ,c
N,1797,76.9366666666666560,-8.0191666666666656,2,*,d
I,1798,36.5647916666666616,13.4302777777777759,2, ,c
N,1798,77.9124999999999892,47.6916666666666600,2, ,e
I,1799,37.1915166666666615,45.9705083333333269,4, ,b
N,1799,76.9358333333333226,-7.9691666666666656,2,*,d
I,1800,37.1284583333333282,31.4067222222222179,1, ,c
I,1800,37.1310416666666615,31.4126944444444401,1, ,c
N,1800,76.6058333333333227,-31.9538888888888845,2, ,d
I,1800,37.1291666666666615,31.4116666666666623,1, ,e
I,1801,37.0532499999999949,19.5826666666666639,6, ,c
N,1801,75.1458333333333229,-69.6133333333333237,2, ,e
I,1802,37.3084458333333282,23.0828916666666635,3,*,b
I,1802,37.3205416666666615,23.0865833333333301,2,*,c
N,1802,77.5583333333333226,24.1083333333333300,2, ,e
I,1803,37.4576249999999948,23.1085833333333301,3,*,c
I,1803,37.4609999999999948,23.1088333333333301,1,*,c
N,1803,76.3604166666666561,-49.5672222222222153,2, ,d
I,1804,37.4763749999999948,23.0972499999999968,2,*,c
N,1804,75.2624999999999895,-69.0833333333333237,2, ,e
N,1805,75.5874999999999895,-66.1149999999999908,2, ,e
I,1805,38.1958333333333280,61.4616666666666581,2,*,e
I,1806,37.3955333333333281,22.9432638888888857,2, ,b
N,1806,75.5487916666666562,-67.9850277777777683,3, ,c
I,1807,37.6291416666666614,22.9493666666666635,2, ,b
N,1807,77.6791666666666559,16.5216666666666644,2, ,e
N,1808,76.9271666666666560,-37.5132222222222170,8, ,c
I,1808,37.6295833333333281,-4.2163888888888883,3,*,d
I,1809,37.9186666666666614,22.9169166666666635,3, ,c
N,1809,75.5229166666666562,-69.5686111111111014,2, ,d
I,1810,37.3616666666666615,-43.0758333333333274,2, ,d
N,1810,75.8458333333333228,-66.3849999999999908,2, ,e
I,1811,37.6583333333333281,-34.2644444444444397,2, ,d
N,1811,77.1783333333333226,-29.2763888888888848,3, ,d
N,1812,77.2208333333333226,-29.2522222222222182,2, ,d
I,1812,37.3829166666666615,-42.8108333333333274,3, ,d
I,1813,37.7054166666666614,-34.2211111111111064,2, ,d
N,1813,75.6666666666666562,-70.3183333333333236,2, ,e
I,1814,37.7743333333333281,-36.0347777777777728,3,*,c
N,1814,75.9416666666666561,-67.3016666666666573,2, ,e
I,1815,38.5837208333333280,32.4293888888888844,7, ,b
N,1815,75.6124999999999895,-70.6199999999999902,2, ,e
I,1816,37.9629166666666614,-36.6719444444444394,2, ,d
N,1816,75.9624999999999894,-67.2616666666666573,2, ,e
I,1817,38.4565416666666613,11.2030277777777762,3, ,c
I,1817,38.4619166666666613,11.2028333333333318,3, ,c
N,1817,78.0624999999999892,16.6899999999999977,2, ,e
I,1818,38.5298166666666613,-11.0407694444444429,2, ,b
N,1818,76.0583333333333228,-66.4349999999999908,2, ,e
I,1819,38.9244208333333279,4.0515805555555550,3, ,b
N,1819,77.9423333333333225,5.2002777777777771,6, ,c
I,1820,38.9695833333333279,6.0402777777777769,3, ,d
N,1820,76.0291666666666561,-67.2799999999999907,1, ,e
N,1820,76.0041666666666561,-67.2666666666666573,1, ,e
I,1821,39.1062374999999946,13.7800944444444425,4, ,b
I,1821,39.1110833333333279,13.7703333333333314,2, ,c
N,1821,77.9420833333333225,-15.1349999999999979,2, ,d
I,1822,38.9261666666666613,-8.5629166666666655,3,*,c
N,1822,76.2833333333333227,-66.2116666666666575,2, ,e
I,1823,39.6543291666666612,32.0694833333333289,4, ,b
N,1823,75.8499999999999895,-70.3349999999999902,2, ,e
N,1824,76.7337499999999893,-59.7247222222222139,2, ,d
I,1824,40.6583333333333277,61.5949999999999914,3,*,e
I,1825,39.7312916666666611,9.0968333333333321,3, ,c
N,1825,76.0791666666666561,-68.9266666666666571,2, ,e
N,1826,76.3907083333333227,-66.2306111111111019,3, ,c
I,1826,39.7654166666666611,-27.4438888888888851,4,*,d
I,1827,39.9439166666666611,1.5579166666666665,5, ,c
N,1827,77.5166666666666559,-36.9594444444444393,2, ,d
N,1828,76.0863333333333228,-69.3882499999999904,3, ,c
I,1828,40.1210416666666611,19.2971944444444418,6,*,c
I,1829,40.1369583333333278,14.2981388888888869,1,*,c
N,1829,76.2374999999999894,-68.0566666666666572,2, ,e
N,1830,76.1612916666666561,-69.3405833333333237,2, ,c
I,1830,39.7654166666666611,-27.4438888888888851,4,*,d
N,1831,76.5707499999999894,-64.9182777777777688,2, ,c
I,1831,40.7499999999999943,62.3999999999999913,1,*,g
I,1831,40.9999999999999943,63.5999999999999912,1,*,g
I,1832,40.4905666666666610,19.0298361111111085,4, ,b
N,1832,78.0133333333333225,-15.6883333333333312,3, ,d
I,1833,40.4108333333333277,-28.1719444444444405,2, ,d
N,1833,76.0916666666666561,-70.7316666666666568,2, ,e
I,1834,40.7004166666666610,3.0835833333333329,5, ,c
N,1834,76.2958333333333227,-69.2066666666666571,2, ,e
I,1835,40.9612499999999943,14.8856944444444424,1, ,c
I,1835,40.9536249999999943,14.8872499999999979,1, ,c
I,1835,40.9546666666666610,14.8889999999999979,3, ,c
I,1835,40.9528333333333276,14.8862222222222202,2, ,c
N,1835,76.2747916666666561,-69.4039722222222126,3, ,c
I,1835,40.9558333333333276,14.8869444444444424,1, ,d
I,1836,40.8476249999999943,3.1048055555555551,3, ,c
I,1836,40.8378749999999943,3.1152777777777773,1, ,c
N,1836,76.3958333333333227,-68.6283333333333238,2, ,e
I,1837,40.8800833333333277,0.30683333333333329072,7,*,c
N,1837,76.2291666666666561,-70.7149999999999902,2, ,e
I,1838,41.1792499999999943,19.4546666666666640,4, ,c
I,1838,41.1794583333333276,19.4586388888888862,2, ,c
N,1838,76.5291666666666560,-68.4466666666666572,2, ,e
I,1839,41.1792916666666609,15.2394722222222201,5, ,c
N,1839,76.5083333333333227,-68.6283333333333238,2, ,e
I,1840,40.9248708333333276,-15.7060583333333312,3,*,b
N,1840,76.3333333333333227,-71.7649999999999900,2, ,e
N,1841,71.3462916666666568,-83.9979999999999883,2, ,c
I,1841,41.4014166666666609,18.9286388888888863,3, ,c
I,1842,41.3473749999999943,11.4579722222222206,3, ,c
N,1842,76.8249999999999893,-67.2733333333333240,2, ,e
I,1843,41.3531249999999943,2.8796111111111107,5, ,c
N,1843,78.5254166666666558,-10.6269444444444430,2, ,d
I,1844,41.4554166666666609,3.2299999999999996,3, ,d
N,1844,76.8749999999999893,-67.3249999999999906,2, ,e
I,1845,40.9869583333333276,-27.9678333333333294,1,*,c
I,1845,40.9875416666666610,-27.9702222222222183,1,*,c
I,1845,40.9862499999999943,-27.9680555555555517,2,*,d
N,1845,76.4374999999999894,-70.5816666666666569,1, ,e
I,1846,41.9316249999999942,13.2552222222222204,5,*,c
N,1846,76.8934166666666560,-67.4606111111111017,3, ,c
I,1847,41.9739583333333275,14.5048416666666647,3, ,b
N,1847,76.7833333333333227,-68.9716666666666571,2, ,e
N,1848,76.8666666666666560,-71.1949999999999901,2, ,e
I,1848,42.8249999999999941,60.4083333333333249,2, ,e
I,1849,41.9362499999999942,9.3561111111111098,3, ,d
N,1849,77.3916666666666559,-66.3166666666666575,2, ,e
N,1850,77.1870416666666559,-68.7615833333333238,3, ,c
I,1850,42.1633333333333275,13.2588888888888870,2,*,d
I,1851,42.9413333333333274,58.3145277777777697,1,*,c
N,1851,78.5280416666666558,-40.0466111111111055,1, ,c
N,1851,78.5275833333333224,-40.0466944444444389,1, ,c
N,1851,78.5276249999999891,-40.0462499999999944,4, ,c
I,1852,42.2514999999999941,13.2234444444444426,5,*,c
N,1852,77.3458333333333226,-67.7783333333333239,2, ,e
I,1853,42.0174999999999942,-13.9936111111111092,2, ,d
N,1853,78.0674999999999892,-57.3991666666666587,2, ,d
I,1854,42.3359958333333275,19.3044916666666640,4, ,b
N,1854,77.3333333333333226,-68.8483333333333238,2, ,e
I,1855,42.2681666666666608,13.4426666666666648,1, ,c
N,1855,77.3333333333333226,-68.8483333333333238,2, ,e
I,1856,42.2111666666666608,-0.76747222222222211563,6, ,c
N,1856,77.3708333333333226,-69.1283333333333237,2, ,e
I,1857,42.4124166666666608,14.6195555555555535,4, ,c
N,1857,80.0208333333333222,39.3249999999999945,2, ,e
I,1858,42.2849999999999941,-31.2897222222222179,2, ,d
N,1858,77.4791666666666559,-68.8983333333333238,2, ,e
I,1859,42.2674999999999941,-31.1730555555555512,2, ,d
N,1859,77.8833333333333225,-65.2499999999999909,2, ,e
I,1860,42.3920833333333274,-31.1899999999999957,2, ,d
N,1860,77.6624999999999892,-68.7533333333333238,2, ,e
I,1861,43.2794166666666607,25.4901388888888853,3, ,c
N,1861,77.5874999999999892,-70.7783333333333235,2, ,e
I,1862,42.9949999999999940,-33.3394444444444398,2,*,d
N,1862,78.1458333333333225,-66.1533333333333241,2, ,e
I,1863,43.7120833333333273,8.7840583333333321,2, ,b
N,1863,77.9166666666666558,-68.7283333333333238,2, ,e
I,1864,43.4145833333333273,-34.1974999999999953,2,*,d
N,1864,78.1666666666666558,-67.6216666666666573,2, ,e
I,1865,43.8340416666666606,8.8279999999999988,4, ,c
N,1865,78.1041666666666558,-68.7733333333333238,2, ,e
I,1866,43.7205916666666606,-15.6529388888888867,2, ,b
N,1866,78.4124999999999891,-65.4649999999999909,2, ,e
I,1867,43.9677624999999939,9.3117333333333320,5,*,b
N,1867,78.4249999999999891,-66.2949999999999908,2, ,e
I,1868,44.0243499999999939,9.3787999999999987,2,*,b
N,1868,78.6499999999999891,-63.9549999999999911,1, ,e
I,1869,44.5500833333333271,5.8389999999999992,1,*,c
I,1869,44.5424583333333271,5.8392499999999992,1,*,c
I,1869,44.5485833333333271,5.8363333333333325,2,*,c
N,1869,78.4599999999999891,-67.3777777777777684,2, ,d
I,1870,44.4729166666666605,-2.3469444444444441,4, ,d
N,1870,78.2916666666666558,-69.1183333333333237,2, ,e
N,1871,78.4658333333333224,-67.4524999999999906,3, ,d
I,1871,43.7916666666666606,60.6433333333333249,1,*,e
I,1871,44.3374999999999938,60.6716666666666582,1,*,e
N,1872,78.2972083333333225,-69.3148333333333237,3, ,c
I,1872,46.1449999999999936,42.8094444444444385,2,*,d
I,1873,45.9702874999999936,9.6132611111111098,2, ,b
N,1873,78.4824999999999891,-67.3336111111111018,3, ,d
I,1874,46.5915374999999935,36.0144305555555506,3, ,b
N,1874,78.3020416666666558,-69.3761944444444348,3,*,c
N,1874,78.3249999999999891,-69.3616666666666570,1,*,e
N,1875,80.4410833333333222,6.6884444444444435,4, ,c
I,1875,45.9854999999999936,-39.4408333333333279,3, ,c
I,1875,45.9972083333333269,-39.4255277777777723,1, ,c
I,1876,46.1338333333333269,-27.4601111111111073,3, ,c
N,1876,78.3270833333333225,-69.3630555555555459,2,*,d
N,1877,78.4119583333333224,-69.3837777777777681,1,*,c
I,1877,45.7900416666666603,-50.5116388888888819,3,*,c
N,1877,78.3291666666666558,-69.3749999999999904,1,*,e
I,1878,45.9172083333333270,-52.1081944444444372,2,*,c
I,1878,45.9304166666666603,-52.1019444444444372,1,*,d
N,1878,78.2083333333333225,-70.4716666666666569,2, ,e
I,1879,45.9691666666666603,-52.1179166666666594,3, ,c
N,1879,79.9508333333333222,-32.1422222222222178,2, ,d
I,1880,46.6188708333333269,-9.7315777777777764,5, ,b
N,1880,78.4129166666666558,-69.3794444444444348,1, ,d
N,1880,78.2874999999999891,-69.3749999999999904,1, ,e
I,1881,47.3221666666666601,38.6492222222222169,4,*,c
N,1881,78.4041666666666558,-69.3016666666666570,2, ,e
I,1882,46.9558333333333268,3.1471944444444440,3, ,c
N,1882,78.8874999999999890,-66.1316666666666575,2,*,e
I,1883,47.4264583333333267,40.8924722222222165,2,*,c
N,1883,81.4749999999999887,46.4899999999999935,2, ,e
I,1884,47.4282916666666601,40.9742499999999943,4,*,c
N,1884,78.8874999999999890,-66.1299999999999908,1,*,e
N,1884,78.9916666666666557,-66.1633333333333241,1,*,e
I,1885,46.6679166666666602,-32.8644444444444399,2, ,d
N,1885,78.7749999999999891,-68.9783333333333238,2, ,e
N,1886,80.4516666666666555,-23.8113888888888856,2, ,d
I,1886,47.0133333333333268,-4.4002777777777772,1, ,d
I,1887,47.5548333333333267,40.7659722222222166,6,*,c
N,1887,79.0208333333333224,-66.3216666666666575,2, ,e
I,1888,47.7340541666666600,41.1371916666666610,2,*,b
N,1888,80.6437499999999888,-11.4999999999999984,3, ,d
I,1889,47.7630833333333267,40.6217222222222166,3,*,c
N,1889,80.6470833333333221,-11.4969444444444428,3, ,d
I,1890,47.4936083333333267,19.2079361111111084,3, ,b
N,1890,78.4416666666666558,-72.0783333333333233,2, ,e
I,1891,47.5499166666666601,19.6065555555555528,3, ,c
N,1891,80.3499999999999888,-35.7163888888888839,1,*,d
N,1891,80.4333333333333222,-35.7899999999999950,1,*,e
I,1892,47.1132916666666601,-23.0552777777777746,5, ,c
I,1892,47.1070833333333268,-23.0366111111111079,1, ,c
N,1892,79.2866666666666557,-64.9605555555555465,3, ,d
I,1893,47.5688333333333267,19.6166944444444417,2, ,c
N,1893,80.6874999999999888,33.4116666666666620,2, ,e
I,1894,47.6059541666666601,19.6067249999999973,2, ,b
N,1894,78.9666666666666557,-69.4699999999999904,2, ,e
I,1895,47.4016666666666601,-25.2536111111111076,2, ,d
N,1895,79.2124999999999890,-67.3299999999999906,2, ,e
I,1896,46.9704166666666601,-54.2141666666666591,2, ,d
N,1896,81.3916666666666554,29.2599999999999959,1,*,e
N,1896,81.3499999999999887,29.1583333333333293,1,*,e
I,1897,47.6912874999999934,-10.7955777777777763,2, ,b
N,1897,79.3791666666666556,-67.4499999999999906,2, ,e
I,1898,47.5833333333333267,-22.4049999999999969,2, ,d
N,1898,79.1749999999999890,-69.6583333333333237,2, ,e
I,1899,48.0545833333333267,-25.3047222222222187,2, ,d
N,1899,79.4458333333333223,-67.9016666666666572,2, ,e
I,1900,48.9798416666666599,37.1540499999999948,3, ,b
N,1900,79.7874999999999889,-63.0233333333333246,1, ,e
I,1901,49.0110124999999932,37.1124027777777726,3, ,b
N,1901,79.5666666666666556,-68.4433333333333238,3,*,e
I,1902,49.0518541666666599,37.1774472222222171,2, ,b
N,1902,79.5784999999999889,-66.6265277777777685,4, ,c
I,1903,48.2851666666666600,-50.5623888888888819,2, ,c
I,1903,48.3019999999999933,-50.5780555555555485,2, ,c
I,1903,48.2945833333333266,-50.5699999999999930,2, ,d
N,1903,79.3416666666666556,-69.3383333333333237,2, ,e
N,1904,81.0441666666666554,-24.5248055555555521,2, ,c
I,1904,48.7537499999999932,-30.7086111111111068,2, ,d
I,1905,49.7024999999999931,41.3616666666666609,1,*,d
I,1905,49.6999999999999931,41.3655555555555498,3,*,d
N,1905,79.5958333333333223,-67.2783333333333240,2, ,e
N,1906,81.1962916666666554,-15.9429166666666645,3, ,c
I,1906,49.0229166666666599,-34.3599999999999952,2, ,d
I,1907,49.9760416666666597,41.5634444444444387,7,*,c
N,1907,82.0208333333333219,35.3249999999999951,2, ,e
I,1908,48.7712499999999932,-54.8194444444444368,1, ,d
I,1908,48.7737499999999932,-54.8222222222222146,1, ,d
N,1908,81.4708333333333220,-2.5283333333333330,1,*,e
I,1908,48.7708333333333266,-54.8166666666666591,1, ,e
I,1909,49.3333333333333265,-33.6905555555555509,2, ,d
N,1909,76.2249999999999894,-7.2499999999999990,1,*,f
N,1910,79.5487499999999890,-69.2216666666666571,1, ,d
N,1910,79.6791666666666556,-69.2316666666666571,1, ,e
I,1910,49.4874999999999931,-21.4349999999999970,1,*,e
N,1911,80.1360833333333222,-66.7788333333333241,3,*,c
I,1911,50.2049166666666597,35.3218055555555506,1,*,c
I,1911,50.1916666666666597,35.3233333333333284,1,*,e
I,1912,49.1799583333333265,-50.6551111111111041,3, ,c
N,1912,82.1666666666666553,35.8483333333333284,2, ,e
I,1913,49.8929166666666597,-32.4655555555555510,4, ,d
N,1913,79.5791666666666556,-69.5383333333333237,2, ,e
I,1914,49.8539999999999931,-49.5996666666666598,3,*,c
N,1914,79.4124999999999890,-71.2566666666666568,2, ,e
I,1915,49.9664999999999931,-50.6910555555555485,3, ,c
N,1915,80.0595833333333222,-66.8799999999999907,3,*,d
N,1915,79.9262499999999889,-66.8213888888888796,1,*,d
N,1915,80.0795833333333222,-66.8911111111111018,1,*,d
I,1916,50.0683333333333264,-49.0419444444444376,2, ,d
N,1916,79.6541666666666556,-69.4083333333333237,2, ,e
